ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,Benneteau J.,61.0,35.0,774.0,1160.0,5.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,1.72,2.0,1.8,2.0,1.91,1.8,1.88,2.01,1.91,1.8,2.0,2.1,1.82,1.94
1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Duckworth J.,39.0,136.0,1090.0,425.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.33,3.2,1.33,3.25,1.35,3.47,1.36,2.88,1.36,3.8,1.32,3.32
1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Istomin D.,37.0,45.0,1130.0,965.0,6.0,7.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.36,3.0,1.4,2.9,1.44,2.62,1.39,3.22,1.4,2.75,1.44,3.55,1.39,2.93
1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Tursunov D.,46.0,29.0,960.0,1244.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.9,1.85,1.91,1.8,1.99,1.9,1.91,1.8,2.1,1.91,1.92,1.83
1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Haase R.,23.0,43.0,1520.0,977.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.3,3.4,1.33,3.25,1.28,4.01,1.29,3.25,1.33,4.33,1.29,3.53
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Sijsling I.,50.0,70.0,918.0,697.0,3.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,2.25,1.57,2.35,1.58,2.38,1.53,2.49,1.6,2.38,1.53,2.6,1.63,2.37,1.56
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Kuznetsov Al.,68.0,142.0,706.0,397.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.3,3.4,1.3,3.4,1.36,3.39,1.33,3.0,1.36,3.8,1.31,3.34
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Kukushkin M.,28.0,67.0,1310.0,721.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.65,2.2,1.67,2.1,1.75,2.18,1.62,2.2,1.83,2.2,1.71,2.09
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Mannarino A.,34.0,59.0,1175.0,784.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.55,2.4,1.62,2.2,1.55,2.6,1.57,2.25,1.62,2.75,1.55,2.41
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Copil M.,Sugita Y.,147.0,170.0,369.0,310.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.57,2.25,1.55,2.4,1.57,2.25,1.63,2.43,1.67,2.1,1.65,2.43,1.6,2.29
