ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,WBD,WHand,WBHand,LBD,LHand,LBHand
3,Doha,Qatar Exxon Mobil Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Klizan M.,102.0,43.0,568.0,980.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.75,2.05,1.73,2.1,1.83,2.07,,,1.83,2.15,1.75,2.05,1995-01-08,R,2.0,1989-07-11,L,2.0
3,Doha,Qatar Exxon Mobil Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Brown D.,1.0,118.0,16585.0,493.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.01,21.0,1.01,13.0,1.02,15.0,1.01,24.11,,,1.03,33.5,1.01,16.74,1987-05-22,R,2.0,,,
3,Doha,Qatar Exxon Mobil Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Zayid M. S.,31.0,1512.0,1255.0,3.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.0,51.0,1,27.0,1.0,34.0,1.01,51.0,,,1.01,51.0,1.01,26.32,1987-02-12,R,2.0,1995-04-14,R,2.0
3,Doha,Qatar Exxon Mobil Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Munoz-De La Nava D.,Lopez F.,75.0,17.0,681.0,1690.0,3.0,6.0,7.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,4.5,1.18,4.5,1.18,4.5,1.2,5.11,1.2,,,5.25,1.2,4.7,1.18,,,,1981-09-20,L,1.0
3,Doha,Qatar Exxon Mobil Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Kuznetsov An.,Ilhan M.,79.0,114.0,663.0,520.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.52,2.45,1.53,2.38,1.59,2.49,,,1.62,2.62,1.54,2.43,,,,1987-06-11,R,2.0
3,Doha,Qatar Exxon Mobil Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Haase R.,Karatsev A.,66.0,195.0,740.0,254.0,5.0,7.0,6.0,1.0,7.0,5.0,,,,,2.0,1.0,Completed,1.5,2.5,1.52,2.45,1.53,2.5,1.5,2.76,,,1.58,2.76,1.52,2.49,1987-04-06,R,2.0,1993-09-04,R,2.0
3,Doha,Qatar Exxon Mobil Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Dzumhur D.,Cecchinato M.,82.0,90.0,649.0,618.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.45,2.7,1.5,2.62,1.48,2.84,,,1.57,2.84,1.48,2.6,1992-05-20,R,2.0,1992-09-30,R,1.0
1,Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Simon G.,28.0,15.0,1360.0,2145.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.68,2.1,1.62,2.25,1.68,2.31,,,1.76,2.35,1.66,2.2,1991-05-16,R,1.0,1984-12-27,R,2.0
2,Chennai,Chennai Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Pavic A.,Almagro N.,449.0,73.0,90.0,694.0,3.0,6.0,7.0,5.0,7.0,6.0,,,,,2.0,1.0,Completed,3.0,1.36,2.9,1.4,3.0,1.4,3.05,1.43,,,3.2,1.45,2.88,1.4,,,,,,
2,Chennai,Chennai Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Donskoy E.,92.0,91.0,611.0,615.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,1.5,2.5,1.55,2.4,1.62,2.25,1.6,2.47,,,1.62,2.53,1.56,2.38,1989-06-14,R,2.0,1990-05-09,R,2.0
1,Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Groth S.,51.0,60.0,817.0,782.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.82,1.9,1.73,2.1,1.93,1.96,,,1.93,2.1,1.82,1.95,1976-11-25,R,,1987-10-19,R,1.0
1,Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Kamke T.,Mitchell B.,277.0,231.0,185.0,225.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.82,1.9,1.8,2.0,1.9,1.99,,,1.9,2.1,1.77,2.0,1986-05-21,R,2.0,,,
1,Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Smith J.P.,69.0,129.0,719.0,459.0,4.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,1.53,2.37,1.58,2.35,1.53,2.5,1.63,2.4,,,1.63,2.5,1.57,2.37,1992-08-17,R,2.0,1989-01-24,L,2.0
